shot,type,in_sec,out_sec,dur_sec,in_tc,out_tc,image_file,text_overlay,overlay_x,overlay_y,overlay_anchor,overlay_max_width,safe_zone,animation_style,sfx,trigger,narration
S011,VOX,59.36,65.62,6.26,00:00:59:11,00:01:05:19,IB_VOX_all/V (5).png,THE GOOD COPY COVERS,0.94,0.82,bottom-right,0.36,LOWER-RIGHT,PAPER-WIPE-IN,a reassuring soft resolve,Harmful copies. Usually hidden and harmless.,Harmful copies. Usually hidden and harmless. Because you also carry a working version that covers for it.
S012,ANCIENT,65.62,72.52,6.90,00:01:05:19,00:01:12:16,IB_ANC_all/A (7).png,,,,,,,GENTLE-SWAY,an innocent calm tone with an undercurrent,But when two close relatives have,"But when two close relatives have a child together, both parents are far more likely to be carrying the same broken copy,"
S013,VOX,72.52,77.56,5.04,00:01:12:16,00:01:17:17,IB_VOX_all/V (6).png,THE SAME BROKEN COPY,0.06,0.82,bottom-left,0.36,LOWER-LEFT,TREE-TRACE,"two branches converging, a tightening tone",inherited from the same recent ancestor.,"inherited from the same recent ancestor. And when a child gets two broken versions,"
S014,VOX,77.56,84.54,6.98,00:01:17:17,00:01:24:16,IB_VOX_all/V (7).png,NOTHING LEFT TO COVER,0.06,0.09,top-left,0.36,UPPER-LEFT,WEB-EXPAND,a hollow absent tone,"and no working one, there is","and no working one, there is nothing left to cover for it. That is what inbreeding actually does. It is not a curse."
S015,VOX,84.54,90.00,5.46,00:01:24:16,00:01:30:00,IB_VOX_all/V (8).png,"ARITHMETIC, NOT A CURSE",0.94,0.09,top-right,0.36,UPPER-RIGHT,SWEEP-HIGHLIGHT,"a stacking count rising, a crossed-out chime",It is arithmetic. You are stacking,It is arithmetic. You are stacking the odds that a hidden problem becomes a visible one.
S016,ANCIENT,90.00,95.24,5.24,00:01:30:00,00:01:35:07,IB_ANC_all/A (8).png,,,,,,,BREATHING-HOLD,"a low mournful tone, wind, quiet grief",The results in a small population,The results in a small population repeating this for generations are brutal.
S017,VOX,95.24,99.98,4.74,00:01:35:07,00:01:39:29,IB_VOX_all/V (9).png,THE COST WAS REAL,0.5,0.08,top-center,0.66,TOP-BAND,PAN-LEFT,three low sombre tones,Higher infant mortality. Weaker immune responses.,Higher infant mortality. Weaker immune responses. Physical deformities.
S018,VOX,99.98,104.50,4.52,00:01:39:29,00:01:44:15,IB_VOX_all/V (10).png,THE GROUP SHRINKS,0.94,0.82,bottom-right,0.36,LOWER-RIGHT,PUSH-IN,"a diminishing tone, marks fading",Reduced fertility. Which is its own,Reduced fertility. Which is its own trap. Because the group shrinks.
S019,VOX,104.50,110.04,5.54,00:01:44:15,00:01:50:01,IB_VOX_all/V (11).png,AND TIGHTENS,0.06,0.82,bottom-left,0.36,LOWER-LEFT,PULL-BACK,a tightening web of ticks,Which makes everyone even more closely,Which makes everyone even more closely related. Which makes the next generation worse.
S020,VOX,110.04,118.06,8.02,00:01:50:01,00:01:58:02,IB_VOX_all/V (12).png,AN EXTINCTION VORTEX,0.5,0.84,bottom-center,0.66,LOWER-BAND,IRIS-REVEAL,a descending spiral drone,Biologists have a name for that,Biologists have a name for that spiral. An extinction vortex. Small populations can genuinely breed themselves out of existence.
S021,ANCIENT,118.06,125.24,7.18,00:01:58:02,00:02:05:07,IB_ANC_all/A (9).png,,,,,,,FIRELIGHT-FLICKER,"an elder's firm voice, attentive quiet",So this was not a moral,So this was not a moral question for ancient humans. It was a survival question. And somehow they solved it. Here is how we know.
S022,VOX,125.24,130.30,5.06,00:02:05:07,00:02:10:09,IB_VOX_all/V (13).png,A SITE IN RUSSIA,0.5,0.08,top-center,0.66,TOP-BAND,PAN-RIGHT,"a soft locating tone, a deep-time resonance",There is a site in Russia,"There is a site in Russia called Sungir. It is roughly 34 ,000 years old."
S023,ANCIENT,130.30,137.04,6.74,00:02:10:09,00:02:17:01,IB_ANC_all/A (10).png,,,,,,,SLOW-RISE,"careful placement, reverent quiet",And it is one of the,And it is one of the most remarkable burials ever found from that period. The people there were buried with astonishing care.
S024,VOX,137.04,143.16,6.12,00:02:17:01,00:02:23:05,IB_VOX_all/V (14).png,THOUSANDS OF BEADS,0.06,0.09,top-left,0.36,UPPER-LEFT,PAPER-WIPE-IN,three precise archaeological reveal ticks,Thousands of beads carved from mammoth,Thousands of beads carved from mammoth ivory sewn onto their clothing. Ivory spears.
S025,ANCIENT,143.16,151.04,7.88,00:02:23:05,00:02:31:01,IB_ANC_all/A (11).png,,,,,,,FIRELIGHT-FLICKER,"tiny beads clicking, patient carving",Carved figures. Someone spent an enormous,Carved figures. Someone spent an enormous amount of time on these graves. And several individuals were buried together. Close.
S026,ANCIENT,151.04,155.84,4.80,00:02:31:01,00:02:35:25,IB_ANC_all/A (12).png,,,,,,,BREATHING-HOLD,"a solemn arranging tone, cold wind","Deliberately arranged. If you saw it,","Deliberately arranged. If you saw it, you would assume you were looking at a family plot."
S027,VOX,155.84,161.98,6.14,00:02:35:25,00:02:41:29,IB_VOX_all/V (15).png,LOOKS LIKE FAMILY,0.94,0.09,top-right,0.36,UPPER-RIGHT,SWEEP-HIGHLIGHT,a soft assuming tone with a doubt,"A father, sons, relatives laid to","A father, sons, relatives laid to rest side by side. Then in 2017,"
S028,VOX,161.98,166.70,4.72,00:02:41:29,00:02:46:21,IB_VOX_all/V (16).png,THEN THEY SEQUENCED IT,0.94,0.82,bottom-right,0.36,LOWER-RIGHT,PUSH-IN,a reading tone resolving into a surprise sting,researchers sequenced their genomes. And the,researchers sequenced their genomes. And the result was not what anyone expected.
S029,VOX,166.70,171.64,4.94,00:02:46:21,00:02:51:19,IB_VOX_all/V (17).png,BARELY RELATED,0.06,0.82,bottom-left,0.36,LOWER-LEFT,TREE-TRACE,"a crossing-out scratch, then a clean reveal",The people buried together were barely,"The people buried together were barely related. At most, roughly second cousins."
S030,VOX,171.64,176.26,4.62,00:02:51:19,00:02:56:08,IB_VOX_all/V (18).png,NO CLOSE LINK,0.06,0.09,top-left,0.36,UPPER-LEFT,PULL-BACK,an open empty tone,Some showed no close relationship at,Some showed no close relationship at all. Now understand why that is astonishing.
S031,VOX,176.26,184.12,7.86,00:02:56:08,00:03:04:04,IB_VOX_all/V (19).png,THAT IS NOT RANDOM,0.5,0.84,bottom-center,0.66,LOWER-BAND,PAN-LEFT,"a dense tangle of ticks, then a sparse clean set","In a small band, if people","In a small band, if people simply paired off with whoever was nearby, those individuals should have been closely related. Siblings."
S032,ANCIENT,184.12,189.44,5.32,00:03:04:04,00:03:09:13,IB_ANC_all/A (13).png,,,,,,,KENBURNS-PUSH,an ordinary familial calm,First cousins. That is what random,First cousins. That is what random mating in a tiny group produces. They were not.
S033,ANCIENT,189.44,194.90,5.46,00:03:09:13,00:03:14:27,IB_ANC_all/A (14).png,,,,,,,KENBURNS-PULL,"a welcoming call, arriving footsteps",Which means the pairing was not,Which means the pairing was not random. These were people who were deliberately finding partners from outside their own
S034,VOX,194.90,200.22,5.32,00:03:14:27,00:03:20:07,IB_VOX_all/V (20).png,THEY HAD A SYSTEM,0.94,0.09,top-right,0.36,UPPER-RIGHT,PAPER-WIPE-IN,two crossing transfer tones,"band. 34 ,000 years ago, they","band. 34 ,000 years ago, they had a system. And once you know to look for it,"
S035,ANCIENT,200.22,206.30,6.08,00:03:20:07,00:03:26:09,IB_ANC_all/A (15).png,,,,,,,PARALLAX-PAN-L,"an instructive murmur, open wind",you can see the machinery of,you can see the machinery of that system all over the human record. The first piece is the simplest.
S036,ANCIENT,206.30,211.70,5.40,00:03:26:09,00:03:31:21,IB_ANC_all/A (16).png,,,,,,,WALK-TRACK,"departing footsteps, a bittersweet tone",Someone leaves. In the overwhelming majority,"Someone leaves. In the overwhelming majority of human societies that have ever been studied,"
S037,VOX,211.70,218.72,7.02,00:03:31:21,00:03:38:22,IB_VOX_all/V (21).png,SOMEONE ALWAYS LEAVES,0.5,0.08,top-center,0.66,TOP-BAND,PAN-LEFT,a repeating outward-inward rhythm,young adults do not stay in,young adults do not stay in the group they were born into to find a partner. One sex moves out and joins another band.
S038,ANCIENT,218.72,224.30,5.58,00:03:38:22,00:03:44:09,IB_ANC_all/A (17).png,,,,,,,WALK-TRACK,two sets of departing footsteps,Sometimes it is the women who,Sometimes it is the women who leave. Sometimes the men. But there is almost always movement. And
S039,ANCIENT,224.30,229.88,5.58,00:03:44:09,00:03:49:26,IB_ANC_all/A (18).png,,,,,,,PARALLAX-PAN-R,"unfamiliar voices, a warm welcome",it happens right at the age,it happens right at the age when reproduction becomes possible. That single habit breaks the trap.
S040,VOX,229.88,235.14,5.26,00:03:49:26,00:03:55:04,IB_VOX_all/V (22).png,THE TRAP BREAKS,0.94,0.82,bottom-right,0.36,LOWER-RIGHT,SWEEP-HIGHLIGHT,a breaking-open release into a wide tone,If every generation sends some of,"If every generation sends some of its young people outward and receives some in return,"
S041,VOX,235.14,240.34,5.20,00:03:55:04,00:04:00:10,IB_VOX_all/V (23).png,PART OF SOMETHING BIGGER,0.5,0.84,bottom-center,0.66,LOWER-BAND,WEB-EXPAND,an expanding widening resonance,your band stops being a closed,your band stops being a closed pool of relatives and becomes part of something much larger.
S042,ANCIENT,240.34,245.00,4.66,00:04:00:10,00:04:05:00,IB_ANC_all/A (19).png,,,,,,,WALK-TRACK,"a distant call, open wind, anticipation",The second piece is that bands,The second piece is that bands were never truly isolated. They met.
S043,ANCIENT,245.00,249.46,4.46,00:04:05:00,00:04:09:14,IB_ANC_all/A (20).png,,,,,,,GENTLE-SWAY,"many overlapping greeting voices, excitement",Foraging groups across the world gathered,"Foraging groups across the world gathered periodically. When a season was good,"
S044,ANCIENT,249.46,254.94,5.48,00:04:09:14,00:04:14:28,IB_ANC_all/A (21).png,,,,,,,SLOW-RISE,"a busy communal work bustle, water","when a water source was reliable,","when a water source was reliable, when a large animal was killed, when the weather turned,"
S045,ANCIENT,254.94,260.08,5.14,00:04:14:28,00:04:20:02,IB_ANC_all/A (22).png,,,,,,,FIRELIGHT-FLICKER,"a large crowd murmur, many fires",separate bands would come together for,separate bands would come together for days or weeks. Those gatherings were not just social.
S046,ANCIENT,260.08,266.44,6.36,00:04:20:02,00:04:26:13,IB_ANC_all/A (23).png,,,,,,,KENBURNS-PUSH,"a warm shy tone, background negotiation","They were where partners were found,","They were where partners were found, arrangements were made, and young people met somebody they were not related to."
S047,VOX,266.44,272.26,5.82,00:04:26:13,00:04:32:08,IB_VOX_all/V (24).png,HUNDREDS OF MILES,0.5,0.08,top-center,0.66,TOP-BAND,PAN-LEFT,a long travelling tone with distance ticks,And this is why archaeologists find,And this is why archaeologists find the same materials hundreds of kilometers from where they originated.
S048,ANCIENT,272.26,277.78,5.52,00:04:32:08,00:04:37:23,IB_ANC_all/A (24).png,,,,,,,KENBURNS-PULL,"objects exchanging hands, friendly voices",Shell's far inland. Distinctive stone carried,Shell's far inland. Distinctive stone carried across whole regions. Those objects were moving through
S049,VOX,277.78,283.66,5.88,00:04:37:23,00:04:43:20,IB_VOX_all/V (25).png,NETWORKS OF PEOPLE,0.5,0.84,bottom-center,0.66,LOWER-BAND,WEB-EXPAND,a connective web of travelling ticks,networks of people who knew each,"networks of people who knew each other. Which brings us to the third piece, and the most human one."
S050,VOX,283.66,290.98,7.32,00:04:43:20,00:04:50:29,IB_VOX_all/V (26).png,RULES ABOUT WHO,0.06,0.82,bottom-left,0.36,LOWER-LEFT,TREE-TRACE,a firm rule-setting tone,Every documented human culture has rules,Every documented human culture has rules about who you may not marry. The specific boundaries vary enormously.
S051,VOX,290.98,298.82,7.84,00:04:50:29,00:04:58:25,IB_VOX_all/V (27).png,THE RULES VARIED,0.5,0.08,top-center,0.66,TOP-BAND,WEB-EXPAND,three distinct variant tones,Some societies forbid one kind of,Some societies forbid one kind of cousin while actively encouraging another. But the existence of a rule is close to universal.
S052,ANCIENT,298.82,304.18,5.36,00:04:58:25,00:05:04:05,IB_ANC_all/A (25).png,,,,,,,FIRELIGHT-FLICKER,"an authoritative voice, serious quiet",Those rules were doing real work.,Those rules were doing real work. They took a biological hazard nobody could see and turn it
S053,VOX,304.18,311.30,7.12,00:05:04:05,00:05:11:09,IB_VOX_all/V (28).png,WITHOUT KNOWING WHY,0.06,0.09,top-left,0.36,UPPER-LEFT,PUSH-IN,a vague tone solidifying into a firm one,into something a group could enforce,into something a group could enforce and pass down through generations. Without knowing a single thing about genetics.
S054,ANCIENT,311.30,316.28,4.98,00:05:11:09,00:05:16:08,IB_ANC_all/A (26).png,,,,,,,BREATHING-HOLD,a soft instinctive tone,But there is a layer beneath,But there is a layer beneath even the rules. Something that does not need to be taught at all.
S055,ANCIENT,316.28,323.74,7.46,00:05:16:08,00:05:23:22,IB_ANC_all/A (27).png,,,,,,,PARALLAX-PAN-L,"easy childhood play, warm familiarity",Researchers describe an effect where people,"Researchers describe an effect where people raised together in early childhood tend not to develop sexual attraction to one another later,"
S056,VOX,323.74,329.42,5.68,00:05:23:22,00:05:29:13,IB_VOX_all/V (29).png,NO SPARK AT ALL,0.5,0.84,bottom-center,0.66,LOWER-BAND,PAN-RIGHT,"a warm childhood tone, then a flat neutral one",regardless of whether they are actually,"regardless of whether they are actually related. It seems to be key to familiarity, not blood."
S057,ANCIENT,329.42,334.80,5.38,00:05:29:13,00:05:34:24,IB_ANC_all/A (28).png,,,,,,,PARALLAX-PAN-R,a comfortable neutral tone,If you grew up around someone,"If you grew up around someone in those first years, your brain quietly files them as family."
S058,VOX,334.80,340.42,5.62,00:05:34:24,00:05:40:13,IB_VOX_all/V (30).png,FILED AS FAMILY,0.94,0.09,top-right,0.36,UPPER-RIGHT,PULL-BACK,"a soft filing tick, an absent tone",And desire simply does not arrive.,And desire simply does not arrive. Think about what that means. Even before language.
S059,ANCIENT,340.42,345.82,5.40,00:05:40:13,00:05:45:25,IB_ANC_all/A (29).png,,,,,,,GENTLE-SWAY,a primal instinctive low tone,Even before anyone could explain why.,Even before anyone could explain why. Human beings may have carried a built -in tendency to
S060,VOX,345.82,351.90,6.08,00:05:45:25,00:05:51:27,IB_VOX_all/V (31).png,BOTH POINT OUTWARD,0.5,0.08,top-center,0.66,TOP-BAND,PAN-RIGHT,two tones converging into one,look outside the people they grew,look outside the people they grew up with. The rules and the instinct were pointing in the same direction.
S061,VOX,351.90,357.74,5.84,00:05:51:27,00:05:57:22,IB_VOX_all/V (32).png,ANOTHER KIND OF HUMAN,0.5,0.84,bottom-center,0.66,LOWER-BAND,PAN-LEFT,a warm tone against a cold isolated one,And now for the part that,"And now for the part that makes all of this land. Because we have a comparison. Another kind of human,"
S062,ANCIENT,357.74,362.92,5.18,00:05:57:22,00:06:02:28,IB_ANC_all/A (30).png,,,,,,,SLOW-RISE,"a bleak cold wind, isolation",facing the same problem and getting,facing the same problem and getting a different answer. Neanderthals. When their genomes were
S063,VOX,362.92,368.42,5.50,00:06:02:28,00:06:08:13,IB_VOX_all/V (33).png,LONG IDENTICAL STRETCHES,0.94,0.82,bottom-right,0.36,LOWER-RIGHT,PAPER-WIPE-IN,a repeating monotone against a varied one,"sequenced, the pattern was strikingly different","sequenced, the pattern was strikingly different from Sungir. One Neanderthal woman from a cave"
S064,VOX,368.42,375.58,7.16,00:06:08:13,00:06:15:17,IB_VOX_all/V (34).png,A TREE FOLDED BACK,0.06,0.82,bottom-left,0.36,LOWER-LEFT,TREE-TRACE,a looping closing tone,in Siberia had parents who were,in Siberia had parents who were closely related. Her genome showed long stretches of near -identical DNA.
S065,ANCIENT,375.58,380.98,5.40,00:06:15:17,00:06:20:29,IB_ANC_all/A (31).png,,,,,,,KENBURNS-PUSH,"a thin sparse tone, cold echo",The signature of a family tree,The signature of a family tree that folded back on itself. And she was not a one -off.
S066,VOX,380.98,386.36,5.38,00:06:20:29,00:06:26:11,IB_VOX_all/V (35).png,SCATTERED AND ALONE,0.5,0.08,top-center,0.66,TOP-BAND,WEB-EXPAND,"isolated separated tones, no connection",Neanderthal populations show low genetic diversity,Neanderthal populations show low genetic diversity overall. And one site in Siberia
S067,VOX,386.36,391.72,5.36,00:06:26:11,00:06:31:22,IB_VOX_all/V (36).png,FEWER CONNECTIONS,0.5,0.84,bottom-center,0.66,LOWER-BAND,TREE-TRACE,a rich connected hum against a thin silence,yielded a small group that included,"yielded a small group that included a father and his daughter, living in what appears to have been a"
S068,ANCIENT,391.72,397.88,6.16,00:06:31:22,00:06:37:26,IB_ANC_all/A (32).png,,,,,,,BREATHING-HOLD,a lone mournful wind,very small community. The picture that,"very small community. The picture that emerges is of Neanderthals living in tiny, scattered,"
S069,VOX,397.88,404.24,6.36,00:06:37:26,00:06:44:07,IB_VOX_all/V (37).png,MANY FACTORS,0.06,0.09,top-left,0.36,UPPER-LEFT,SWEEP-HIGHLIGHT,several weights settling together,more isolated groups. With fewer of,more isolated groups. With fewer of the long -distance connections that our ancestors seemed to have maintained.
S070,VOX,404.24,408.86,4.62,00:06:44:07,00:06:48:26,IB_VOX_all/V (38).png,DO NOT OVERREACH,0.94,0.09,top-right,0.36,UPPER-RIGHT,PUSH-IN,a corrective careful tone,"Now, I want to be careful","Now, I want to be careful here. Because this is where it is easy to overreach."
S071,VOX,408.86,414.20,5.34,00:06:48:26,00:06:54:06,IB_VOX_all/V (39).png,NETWORKS ABSORB SHOCK,0.5,0.08,top-center,0.66,TOP-BAND,WEB-EXPAND,"a shock dissipating, then a shock landing hard",Neanderthals did not go extinct simply,"Neanderthals did not go extinct simply because of inbreeding. Climate, competition,"
S072,VOX,414.20,419.64,5.44,00:06:54:06,00:06:59:19,IB_VOX_all/V (40).png,"SAME PROBLEM, TWO ANSWERS",0.5,0.84,bottom-center,0.66,LOWER-BAND,PAN-RIGHT,one origin tone splitting into two outcomes,population size and chance were all,population size and chance were all involved. And researchers still argue about the waiting. But
S073,ANCIENT,419.64,424.60,4.96,00:06:59:19,00:07:04:18,IB_ANC_all/A (33).png,,,,,,,SLOW-RISE,"a wide awed swell, high wind",low diversity and small isolated populations,low diversity and small isolated populations are a genuine vulnerability.
S074,VOX,424.60,430.94,6.34,00:07:04:18,00:07:10:28,IB_VOX_all/V (41).png,IT CARRIED MORE,0.5,0.08,top-center,0.66,TOP-BAND,WEB-EXPAND,multiple kinds of information travelling,"When something goes wrong, a large","When something goes wrong, a large connected network absorbs it. A handful of tiny inbred groups may not."
S075,ANCIENT,430.94,437.50,6.56,00:07:10:28,00:07:17:15,IB_ANC_all/A (34).png,,,,,,,KENBURNS-PULL,"an informative exchange, attentive quiet",Two kinds of human. The same,Two kinds of human. The same arithmetic problem. One of them built a solution that spanned enormous distances.
S076,ANCIENT,437.50,443.10,5.60,00:07:17:15,00:07:23:03,IB_ANC_all/A (35).png,,,,,,,PARALLAX-PAN-L,"objects changing hands, warm negotiation",That difference is worth sitting with.,That difference is worth sitting with. And this is where the story turns into something bigger than mating.
S077,ANCIENT,443.10,449.48,6.38,00:07:23:03,00:07:29:14,IB_ANC_all/A (36).png,,,,,,,FIRELIGHT-FLICKER,a story carrying over a large crowd,Think about what those partner networks,"Think about what those partner networks actually were. To find someone unrelated, you had to know that other groups existed."
S078,VOX,449.48,454.30,4.82,00:07:29:14,00:07:34:09,IB_VOX_all/V (42).png,THE SAME NETWORK,0.5,0.84,bottom-center,0.66,LOWER-BAND,WEB-EXPAND,four streams merging into one resonance,Where they camped. When they gathered.,Where they camped. When they gathered. What they were called. Whether they could be trusted.
S079,VOX,454.30,461.62,7.32,00:07:34:09,00:07:41:19,IB_VOX_all/V (43).png,STITCHED TOGETHER,0.5,0.08,top-center,0.66,TOP-BAND,TREE-TRACE,"a vast connecting sweep, warm swell",You needed a relationship with people,"You needed a relationship with people you were not born beside. And once that relationship existed, it did not only carry partners."
S080,ANCIENT,461.62,467.44,5.82,00:07:41:19,00:07:47:13,IB_ANC_all/A (37).png,,,,,,,SLOW-RISE,"a huge crowd warmth, a rising swell",It carried information. Which valley flooded?,It carried information. Which valley flooded? Where the herds moved. How to work a difficult stone.
S081,VOX,467.44,472.74,5.30,00:07:47:13,00:07:52:22,IB_VOX_all/V (44).png,THIRTY IS NOT ENOUGH,0.5,0.84,bottom-center,0.66,LOWER-BAND,PAN-LEFT,a small thin tone opening into a full one,"It carried materials, shells and pigment","It carried materials, shells and pigment and tools traveling across regions. It"
S082,ANCIENT,472.74,478.16,5.42,00:07:52:22,00:07:58:05,IB_ANC_all/A (38).png,,,,,,,FIRELIGHT-FLICKER,"a warm certain voice, a child's question",carried stories and language and technique.,carried stories and language and technique. The network built to avoid inbreeding was
S083,VOX,478.16,483.52,5.36,00:07:58:05,00:08:03:16,IB_VOX_all/V (45).png,ALMOST STRANGERS,0.94,0.82,bottom-right,0.36,LOWER-RIGHT,PULL-BACK,"a reverent reveal, a soft settle",the same network that moved everything,the same network that moved everything else. Human beings became connected across huge
S084,ANCIENT,483.52,489.56,6.04,00:08:03:16,00:08:09:17,IB_ANC_all/A (39).png,,,,,,,BREATHING-HOLD,"a reverent awed tone, a final placement",distances partly because we had to,distances partly because we had to be. Because 30 people is not enough to build a future on.
S085,VOX,489.56,495.46,5.90,00:08:09:17,00:08:15:14,IB_VOX_all/V (46).png,ON PURPOSE,0.5,0.08,top-center,0.66,TOP-BAND,PAN-LEFT,a deep-time resonance with a deliberate reach,And some part of us understood,And some part of us understood that long before we could explain it. So when you look at that sun gear grave.
S086,VOX,495.46,500.80,5.34,00:08:15:14,00:08:20:24,IB_VOX_all/V (47).png,THEY COULD NOT SEE,0.06,0.82,bottom-left,0.36,LOWER-LEFT,PAPER-WIPE-IN,"two crossed-out ticks, then a human observing tone",Thousands of ivory beads and people,Thousands of ivory beads and people lying side by side. Who were almost strangers by blood.
S087,ANCIENT,500.80,507.10,6.30,00:08:20:24,00:08:27:03,IB_ANC_all/A (40).png,,,,,,,PARALLAX-PAN-R,"a patient observing quiet, a faint infant cry",You were looking at something extraordinary.,"You were looking at something extraordinary. You were looking at proof that 34 ,000 years ago."
S088,ANCIENT,507.10,514.58,7.48,00:08:27:03,00:08:34:17,IB_ANC_all/A (41).png,,,,,,,FIRELIGHT-FLICKER,a firm handing-down voice,Humans were reaching beyond their own,Humans were reaching beyond their own small circle on purpose. They could not see a gene. They had no idea what DNA was.
S089,ANCIENT,514.58,520.04,5.46,00:08:34:17,00:08:40:01,IB_ANC_all/A (42).png,,,,,,,WALK-TRACK,"departing footsteps, a hopeful swell",They only knew from watching. From,They only knew from watching. From remembering. From generations of hard experience.
S090,ANCIENT,520.04,525.20,5.16,00:08:40:01,00:08:45:06,IB_ANC_all/A (43).png,,,,,,,FIRELIGHT-FLICKER,"a warm arrival, welcoming voices",That children born inside the family,That children born inside the family did not do as well. So they built rules.
S091,ANCIENT,525.20,530.74,5.54,00:08:45:06,00:08:50:22,IB_ANC_all/A (44).png,,,,,,,BREATHING-HOLD,"a content infant sound, a warm settled tone",They sent their young people outward.,They sent their young people outward. They met other bands. Kept those relationships alive across whole
S092,VOX,530.74,538.08,7.34,00:08:50:22,00:08:58:02,IB_VOX_all/V (48).png,"OUR SPECIES, CONNECTED",0.5,0.84,bottom-center,0.66,LOWER-BAND,WEB-EXPAND,"the full warm musical resolution, a vast connected swell, then room tone",landscapes and married into them. And,"landscapes and married into them. And in doing that, without ever intending to, they stitched our species together."
